Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1430000,1.3536602,0.7250224,999.0,18.017994947731495,18.017994947731495,1.0
1440000,1.3513831,0.89889365,999.0,17.044188512613378,17.044188512613378,1.0
1450000,1.3512632,0.85752404,999.0,21.751221166716682,21.751221166716682,1.0
1460000,1.3497683,1.0001464,999.0,20.766155688092113,20.766155688092113,1.0
1470000,1.3497683,1.0007681,999.0,20.09982935525477,20.09982935525477,1.0
1480000,1.3475008,1.1031278,999.0,19.26809092015028,19.26809092015028,1.0
1490000,1.3474458,1.1289208,999.0,16.41988221804301,16.41988221804301,1.0
1500000,1.3458785,1.2749518,999.0,23.284890085458755,23.284890085458755,1.0
1510000,1.3456465,1.2408152,999.0,23.123329838737845,23.123329838737845,1.0
1520000,1.3441929,1.3703201,999.0,22.486524113019307,22.486524113019307,1.0
1530000,1.3438166,1.3493601,999.0,20.630708826912773,20.630708826912773,1.0
1540000,1.3417945,1.4523132,999.0,21.094160625711083,21.094160625711083,1.0
1550000,1.3407781,1.4433458,999.0,23.2479245364666,23.2479245364666,1.0
1560000,1.33938,1.5983045,999.0,22.083539374669392,22.083539374669392,1.0
1570000,1.3383814,1.4422758,999.0,19.442659358183544,19.442659358183544,1.0
1580000,1.3377098,1.5651987,999.0,20.675764247775078,20.675764247775078,1.0
1590000,1.3369486,1.7426044,999.0,21.091448679566383,21.091448679566383,1.0
1600000,1.3360887,1.6754647,999.0,25.169994122783343,25.169994122783343,1.0
1610000,1.3346369,1.8231455,999.0,25.768296711974674,25.768296711974674,1.0
1620000,1.334103,1.7548778,999.0,24.778313116170466,24.778313116170466,1.0
1630000,1.332751,1.9653937,999.0,25.490444093942642,25.490444093942642,1.0
1640000,1.3323687,1.9764489,999.0,25.29608121216297,25.29608121216297,1.0
1650000,1.3303841,1.9772552,999.0,26.341650788982708,26.341650788982708,1.0
1660000,1.3302461,1.9037113,999.0,16.48170192167163,16.48170192167163,1.0
1670000,1.3286736,1.9659554,999.0,22.987981989979744,22.987981989979744,1.0
1680000,1.3286736,2.0246797,999.0,23.26471145947774,23.26471145947774,1.0
1690000,1.3276954,2.1303294,999.0,27.951332241296768,27.951332241296768,1.0
1700000,1.3276709,1.9901068,999.0,15.68530136719346,15.68530136719346,1.0
1710000,1.3268623,2.0647602,999.0,23.837635058909655,23.837635058909655,1.0
1720000,1.3267448,2.1576524,999.0,27.69580966134866,27.69580966134866,1.0
1730000,1.3258473,2.2609954,999.0,25.653060792220963,25.653060792220963,1.0
1740000,1.3255883,2.3202462,999.0,31.68356455489993,31.68356455489993,1.0
1750000,1.3251652,2.2534409,999.0,25.382062021642923,25.382062021642923,1.0
1760000,1.3249576,2.3430314,999.0,29.383485915263496,29.383485915263496,1.0
1770000,1.3244046,2.306188,999.0,28.63436629374822,28.63436629374822,1.0
1780000,1.323979,2.357304,999.0,23.311492691747844,23.311492691747844,1.0
1790000,1.3234099,2.3948157,999.0,26.3887580614537,26.3887580614537,1.0
1800000,1.3228065,2.4034686,999.0,27.89445595741272,27.89445595741272,1.0
1810000,1.3223853,2.6013238,999.0,34.95253700680203,34.95253700680203,1.0
1820000,1.3216527,2.5762594,999.0,31.592007890343666,31.592007890343666,1.0
1830000,1.3212467,2.6738417,999.0,31.411394849419594,31.411394849419594,1.0
1840000,1.3202069,2.5617087,999.0,32.899672558903696,32.899672558903696,1.0
1850000,1.319987,2.6898563,999.0,32.17171125941806,32.17171125941806,1.0
1860000,1.3189727,2.7029881,999.0,28.543163143098354,28.543163143098354,1.0
1870000,1.3188556,2.7653584,999.0,36.420608550310135,36.420608550310135,1.0
1880000,1.3174864,2.8817863,999.0,33.568886109193166,33.568886109193166,1.0
1890000,1.3174864,2.8953633,999.0,34.18008567392826,34.18008567392826,1.0
1900000,1.3158967,2.9803874,999.0,34.30010745674372,34.30010745674372,1.0
1910000,1.315853,2.819423,999.0,30.074278235435486,30.074278235435486,1.0
1920000,1.314808,2.9886014,999.0,33.25980939045549,33.25980939045549,1.0
1930000,1.3146554,2.9155655,999.0,30.385592818260193,30.385592818260193,1.0
1940000,1.3137535,2.9695706,999.0,31.417420288547873,31.417420288547873,1.0
